agent_a_key,agent_b_key,avg_decision_sec_a,avg_decision_sec_b,avg_game_length,avg_score_a,avg_score_b,cache_enabled,dataset_games,draw_rate,draws,game,legal_cache_hit_rate,losses_a,n_matches,next_cache_hit_rate,win_rate_a,wins_a
value_greedy:fact_mlp,random,0.0048571977330386954,1.7772254608328398e-06,21.2,70.0,30.0,True,200,0.0,0,connectFour,0.0,3,10,0.10408560311284047,0.7,7
value_greedy:token_transformer,random,0.00282338589637613,1.356385891184179e-06,22.0,30.0,70.0,True,200,0.0,0,connectFour,0.0,7,10,0.1010194624652456,0.3,3
neural_mcts:fact_mlp,random,0.08835213027995521,1.886541497962614e-06,11.7,100.0,0.0,True,200,0.0,0,connectFour,0.8707625771163264,0,10,0.03808,1.0,10
neural_mcts:token_mlp,random,0.08690937809397474,1.917740577810857e-06,8.8,90.0,10.0,True,200,0.0,0,connectFour,0.8392967032967033,1,10,0.02872003618272275,0.9,9
neural_mcts:token_transformer,random,0.2900550653110564,2.1149112918165057e-06,11.8,70.0,30.0,True,200,0.0,0,connectFour,0.858728837080211,3,10,0.02862190812720848,0.7,7
value_greedy:fact_mlp,random,0.0050800519382203455,3.0554712596783428e-06,22.0,70.0,30.0,True,500,0.0,0,connectFour,0.0,3,10,0.1009090909090909,0.7,7
value_greedy:token_transformer,random,0.003441501162272908,2.5920224016289573e-06,21.8,50.0,50.0,True,500,0.0,0,connectFour,0.0,5,10,0.10083256244218317,0.5,5
neural_mcts:fact_mlp,random,0.10986301482114917,2.420262420810049e-06,12.3,100.0,0.0,True,500,0.0,0,connectFour,0.8771547813463981,0,10,0.03690604336460095,1.0,10
neural_mcts:token_mlp,random,0.09943446739004898,2.6025549347080984e-06,8.5,100.0,0.0,True,500,0.0,0,connectFour,0.8497252747252747,0,10,0.03065134099616858,1.0,10
neural_mcts:token_transformer,random,0.31115383414153047,3.0086635503856387e-06,12.5,100.0,0.0,True,500,0.0,0,connectFour,0.8740595611285267,0,10,0.029680791487773008,1.0,10
value_greedy:fact_mlp,random,0.003951085009557389,1.8270136797604298e-06,23.2,70.0,30.0,True,1000,0.0,0,connectFour,0.0,3,10,0.10317460317460317,0.7,7
value_greedy:token_transformer,random,0.0029646731055381166,1.3392398792075408e-06,23.8,70.0,30.0,True,1000,0.0,0,connectFour,0.0,3,10,0.10265183917878529,0.7,7
neural_mcts:fact_mlp,random,0.09567434600686213,1.7804891275954733e-06,14.7,100.0,0.0,True,1000,0.0,0,connectFour,0.885824988678106,0,10,0.04165564665432425,1.0,10
neural_mcts:token_mlp,random,0.09589641218271028,1.9885239759353797e-06,11.0,90.0,10.0,True,1000,0.0,0,connectFour,0.8425240434511866,1,10,0.02962829951517328,0.9,9
neural_mcts:token_transformer,random,0.3040001687243258,1.9695415651141066e-06,10.1,100.0,0.0,True,1000,0.0,0,connectFour,0.8469363614856873,0,10,0.032825322391559206,1.0,10
value_greedy:fact_mlp,random,0.00400320982888752,1.9007959638888797e-06,23.7,80.0,20.0,True,2000,0.0,0,connectFour,0.0,2,10,0.10443864229765012,0.8,8
value_greedy:token_transformer,random,0.002648974910693339,1.4545251899987338e-06,17.5,80.0,20.0,True,2000,0.0,0,connectFour,0.0,2,10,0.10102156640181612,0.8,8
neural_mcts:fact_mlp,random,0.08789214628533852,1.7749250459620865e-06,11.5,100.0,0.0,True,2000,0.0,0,connectFour,0.8701954186618351,0,10,0.03666450356911097,1.0,10
neural_mcts:token_mlp,random,0.09240191673795145,1.6668696185702427e-06,11.7,80.0,20.0,True,2000,0.0,0,connectFour,0.8465362515333462,2,10,0.030562347188264057,0.8,8
neural_mcts:token_transformer,random,0.31388731519815233,2.0057435825026014e-06,12.5,100.0,0.0,True,2000,0.0,0,connectFour,0.8460521968946151,0,10,0.03158742949234488,1.0,10
