agent_a_key,agent_b_key,mean_avg_decision_sec_a,mean_avg_decision_sec_b,mean_avg_game_length,mean_avg_score_a,mean_avg_score_b,mean_draw_rate,mean_legal_cache_hit_rate,mean_next_cache_hit_rate,mean_win_rate_a,n_games
value_greedy:fact_mlp,random,0.019920291234863746,1.7060767499722523e-06,27.8,56.666666666666664,43.333333333333336,0.0,0.0,0.0897257442983664,0.5666666666666667,3
value_greedy:token_mlp,random,0.020006202482396176,1.6050829581475484e-06,30.266666666666666,41.666666666666664,58.333333333333336,0.03333333333333333,0.0,0.08926525675653026,0.39999999999999997,3
value_greedy:token_transformer,random,0.014522112084056868,1.5129701518681802e-06,32.333333333333336,41.666666666666664,58.333333333333336,0.03333333333333333,0.0,0.08903342206045078,0.39999999999999997,3
neural_mcts:fact_mlp,pure_mct,0.17691471670274206,0.2867519717789759,20.633333333333333,55.0,45.0,0.16666666666666666,0.5797969737110152,0.1038274419823751,0.4666666666666666,3
neural_mcts:token_mlp,pure_mct,0.18278677435092439,0.2824607692320375,18.26666666666667,55.0,45.0,0.16666666666666666,0.5704643453801226,0.10790597500326952,0.4666666666666666,3
neural_mcts:token_transformer,pure_mct,0.28509639927644953,0.2870726513424997,22.833333333333332,55.0,45.0,0.09999999999999999,0.5019985702188069,0.10597096677271357,0.5,3
neural_mcts:fact_mlp,heuristic_mcts,0.18438556737537062,0.2860236494976258,19.3,43.333333333333336,56.666666666666664,0.06666666666666667,0.6003254802752677,0.13410982413092512,0.39999999999999997,3
neural_mcts:token_mlp,heuristic_mcts,0.19139740203120295,0.2891002528207424,19.166666666666668,38.333333333333336,61.666666666666664,0.09999999999999999,0.6059332419698129,0.13838444215120177,0.3333333333333333,3
neural_mcts:token_transformer,heuristic_mcts,0.29058423494666835,0.2870242748140135,23.2,40.0,60.0,0.06666666666666667,0.5298221713677185,0.13479744771112723,0.3666666666666667,3
